emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
Constantius II,constantiusii8,AE,Maiorina,348,350,Rome,2nd,null,5.15g,24.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP REPARATIO,,,B/-//RB,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Constantius II, draped, cuirassed, standing left on galley, holding phoenix on globe in right hand and standard with Chi-Rho on banner in left hand; steering the ship, seated Victory",RIC VIII Rome 115,,,Ex. London Ancient Coins 2019,CTVT,
Constans I,constansi1,AE,Maiorina,348,350,Antioch,4th,null,5.50g,24.0mm,12H,D N CONSTA-NS P F AVG,FEL TEMP REPARATIO,,,✱/-//ANΓ,"Bust of Constans, pearl-diademed, draped, cuirassed, right","Constans, draped, cuirassed, standing left on galley, holding phoenix on globe in right hand and standard with Chi-Rho on banner in left hand; steering the ship, seated Victory",RIC VIII Antioch 124,,,Ex. Victor Clark 2019,FMBF,
Constans I,constansi2,AE,Maiorina,348,350,Rome,6th,null,6.05g,23.0mm,6H,D N CONSTA-NS P F AVG,FEL TEMP REPARATIO,,,S/-//RS,"Bust of Constans, laureate, rosette-diademed, draped, cuirassed, right","Constans, draped, cuirassed, standing left on galley, holding phoenix on globe in right hand and standard with Chi-Rho on banner in left hand; steering the ship, seated Victory",RIC VIII Rome 134,,,Ex. eBay 2019,BTVD,
Decentius,decentius1,AE,Maiorina,351,352,Rome,6th,null,4.23g,22.5mm,12H,MAG DECENTI-VS NOB CAES,VICT DD NN AVG ET CAES,,,-/-//R✱ς,"Bust of Decentius, bareheaded, cuirassed, right; Γ behind bust","Two Victories, winged, draped, standing facing each other, holding between them wreath inscribed VOT/V/MVLT/X surmounted by Chi-Rho",RIC VIII Rome 223,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",NMXN,
Constantius II,constantiusii9,AE,Maiorina,351,354,Cyzicus,3rd,null,5.68g,22.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,Γ/-//SMKΓ,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing pointed cap, facing soldier, raising right arm",RIC VIII Cyzicus 93a,,,Ex. Budgies-Beak eBay 2019,ZHGY,
Constantius II,constantiusii6,AE,Maiorina,350,355,Thessaloniki,4th,null,4.40g,25.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,A/-//TSΔ,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right; A behind bust","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing a pointed cap, sitting right, raising both hands",RIC VIII Thessalonica 123,,,Ex. Glenn Simonel eBay 2019,ELXP,
Constantius II,constantiusii1,AE,Maiorina,350,355,Antioch,7th,null,6.20g,24.0mm,6H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,Γ/-//ANZ,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing cap, facing soldier, extending right arm",RIC VIII Antioch 132,,,"Ex. Dr. Busso Peus Nachf E-Auktion 420 Teil 2, Lot 6360",9QLA,
Constantius II,constantiusii2,AE,Maiorina,350,355,Antioch,8th,null,4.82g,21.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,Γ/-//ANH,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing cap, facing soldier, extending right arm",RIC VIII Antioch 132,,,Ex. Savoca eBay 2018,RJGE,
Constantius II,constantiusii4,AE,Siliqua,353,355,Arelate,2nd,null,2.18g,19.0mm,11H,D N CONSTAN-TIVS P F AVG,VOTIS/XXX/MVLTIS/XXXX within a wreath,,,-/-//SCON,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right",-,RIC VIII Arelate 207,,,"Ex. CNG eAuction 440, Lot 521, Ex. 1887 East Harptree, Somerset Hoard (IRBCH 1424)",T8PB,
Constantius II,constantiusii3,AE,Maiorina,355,361,Rome,7th,null,2.25g,18.0mm,6H,D N CONSTAN-TIVS P F AVG,FEL TEMP REPARATIO,,,-/-//R(wreath)Z,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman facing soldier, extending left arm",RIC VIII Rome 309,,,Ex. RomanLode 2019,4S9F,
Julian II the Apostate,julianii,AE,Maiorina,361,363,Antioch,1st,null,8.46g,30.0mm,6H,D N FL CL IVLI-ANVS P F AVG,SECVRITAS REI PVB,,,-/-//(palm branch left)ANTA(palm branch right),"Bust of Julian, pearl-diademed, draped, cuirassed, right","Bull, standing right, head front; above, two stars",RIC VIII Antioch 216,,,Ex. CNG Auction 406 Lot 797,RPUP,
Valentinian I,valentiniani2,AE,Centenionalis,367,375,Siscia,null,null,2.13g,18.0mm,6H,D N VALENTINI-ANVS P F AVG,SECVRITAS-REIPVBLICAE,,,(R on Ắ)/F//ΓSISCA•,"Bust of Valentinian I, pearl-diademed, draped and cuirassed, right","Victory advancing left, holding wreath and palm",RIC IX Siscia 15A,,,Ex. FSR Coin Bargain Bin 2017,6GQ5,
Valens,valensi,AE,Centenionalis,367,375,Siscia,null,null,2.43g,17.0mm,6H,D N VALEN-S P F AVG,SECVRITAS-REIPVBLICAE,,,(✱ on P)/M//ASISC," of Valens, pearl-diademed, draped and cuirassed, right","Victory advancing left, holding wreath and palm",RIC IX Siscia 15B,,,Ex. FSR Coin Bargain Bin 2017,8A74,
Arcadius,arcadius1,AE,Maiorina,378,383,Constantinople,3rd,null,5.540g,22.6mm,12H,D N ARCAD-IVS P F AVG,GLORIA RO-MANORVM,,,-/-//CONSΓ✱,"Bust of Arcadius, pearl-diademed, draped and cuirassed, right, holding spear and shield in front; above, hand of God holding wreath","Emperor, head left, standing facing, holding standard in right hand and resting left on shield; to left, kneeling captive, head right",RIC IX Constantinople 53A,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",PK9Y,
Theodosius I,theodosiusi,AE,Maiorina,392,395,Cyzicus,3rd,null,5.56g,23.0mm,12H,D N THEODO-SIVS P F AVG,GLORIA-ROMANORVM,,,-/-//SMKΓ,"Bust of Theodosius I, pearl-diademed, draped and cuirassed, right","Emperor, head right, standing facing, holding standard and globe",RIC IX Cyzicus 27A,,,Ex. Cayon Subastas 42 Lot 2697,NCUS,
Marcian,marcian1,AE,Nummus,450,457,Nicomedia,null,null,0.833g,10.5mm,6H,D N MARCIANVS P F AVG,GLORIA-ROMANORVM,,,-/-//[NIC],"Bust of Marcian, pearl-diademed, draped and cuirassed, right",Marcian's monogram in wreath,RIC X Marcian 548,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",UXV5,yes
