emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
Maximian,maximian11,AE,Follis,305,307,London,null,null,7.81g,27.0mm,6H,D N MAXIMIANO FELICISSIMO SEN AVG,PROVIDENTIA DEORVM QVIESS AVGG,,,-/-//-,"Laureate bust right, wearing trabea and holding olive branch and mappa","Providentia and Quies standing facing one another, the latter holding branch and scepter set on ground","RIC VI Londinium 77b, Cloke & Toone 4.01.004",Post-Abdication Folles,,"Ex. CNG Electronic Auction 457, Lot 442, Ex. Northwest Collection",,
Constantine the Great,constantinei37,AE,Follis,306,307,Antioch,null,null,10.40g,26.0mm,6H,FL VAL CONSTANTINVS NOB CAES,GENIO POPV-LI ROMANI,,,-/A//ANT:,Laureate head right,"Genius standing left, modius on head, naked but for chlamys over left shoulder, liquors flowing from patera in right hand, cornucopiae in left",Not in RIC,,,Ex. Budgies-Beak eBay 2019,,
Galerius,galerius3,AE,Follis,307,307,Heraclea,3rd,null,8.62g,27.0mm,12H,IMP C GAL VAL MAXIMIANVS P F AVG,GENIO POPV-L-I ROMANI,,,-/-//HTΓ,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Heraclea 33,,,Ex. Harlan J. Berk 2018,Y994,
Maximian,maximian7,AE,Follis,307,310,London,null,null,6.81g,26.5mm,12H,D N MAXIMIANO P F S AVG,GENIO POP ROM,,,-/-//PLN,Laureate and cuirassed bust right,"Genius standing left, wearing intermediate modius/towered crown, holding patera in right hand, cornucopia in left","RIC VI Londinium 85/90, Cloke & Toone 5.04.001",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 152, Ex. James Pickering Romano-Britannic Collection",97LH,
Galerius,galerius6,AE,Follis,308,308,Alexandria,1st,null,6.81g,24.0mm,12H,IMP C GAL VAL MAXIMIANVS P F AVG,GENIO IMPE-RATORIS,,,P/(A over R)//ALE,Laureate head right,"Genius standing left, holding patera in right hand with liquid flowing from it, cornucopia in left",RIC VI Alexandria 72,,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 265, Ex. Severus Alexander Collection, Ex. Dattari Collection",N66S,
Constantine the Great,constantinei53,AE,Follis,309,310,Alexandria,1st,null,6.77g,24.5mm,6H,FL VAL CONSTANTINVS FIL AVG,GENIO CA-ESARIS,,,K/(A over P)//ALE,Laureate head right,"Genius standing left, holding patera and cornucopia",RIC VI Alexandria 99b,,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 163, Ex. James Pickering Romano-Britannic Collection",UNNY,
Constantine the Great,constantinei59,AE,Follis,309,310,Lugdunum,1st,null,5.16g,26.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,F/T//PLC,"Bust of Constantine I, laureate, draped, right, seen from behind","Sol, nude, standing front, head left, raising right hand and holding globe in left hand",RIC VI Lugdunum 307,Constantine Sol Mint Set,,Ex. York Coins 2019,,
Constantine the Great,constantinei35,AE,Follis,309,311,London,null,null,4.65g,22.80mm,12H,IMP CONSTANTINVS P F AVG,SOLI INVICTO COMITI,,,T/F//PLN,Laureate and cuirassed bust right,"Sol, chlamys falling from left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 121a, Cloke & Toone 6.02.010",,,"Ex. MRBCoins 2019, Ex. Little Ormes Head Hoard (1873)",,
Constantine the Great,constantinei45,AE,Follis,310,310,London,null,null,4.70g,23.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVI-CTO COMITI,,,T/F//PLN,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys falling from left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 122, Cloke & Toone 6.02.011",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 153, Ex. James Pickering Romano-Britannic Collection, Ex. York Coins",HDFW,
Galeria Valeria,galeria1,AE,Follis,310,310,Alexandria,3rd,null,7.440g,24.6mm,12H,GAL VAL-ERIA AVG,VENERI V-ICTRICI,,,(✱ on K)/(Γ on P)//ALE,"Bust of Galeria Valeria, diademed, draped, right","Venus, draped, standing front, head left, holding up apple with right hand, raising drapery over left shoulder with left hand",RIC VI Alexandria 122,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,
